TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
2000,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,142982
2000,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,124922
2001,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,79821
2001,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,74647
2001,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,37730
2001,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,586406
2001,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,8493
2001,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,24956
2001,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,53704
2001,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,236043
2001,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,549836
2001,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12175
2001,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,279009
2001,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3551
2001,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4280
2001,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,14737
2001,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1621
2001,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,36415
2001,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1943
